answer,distance,model,run
N,20,deepseek-chat,0
N,20,deepseek-chat,1
N,20,deepseek-chat,2
N,20,deepseek-chat,3
N,20,deepseek-chat,4
N,20,deepseek-chat,5
N,20,deepseek-chat,6
N,20,deepseek-chat,7
N,20,deepseek-chat,8
N,20,deepseek-chat,9
N,20,deepseek-chat,10
N,20,deepseek-chat,11
N,20,deepseek-chat,12
N,20,deepseek-chat,13
N,20,deepseek-chat,14
N,20,deepseek-chat,15
N,20,deepseek-chat,16
N,20,deepseek-chat,17
N,20,deepseek-chat,18
N,20,deepseek-chat,19
N,20,deepseek-chat,20
N,20,deepseek-chat,21
N,20,deepseek-chat,22
N,20,deepseek-chat,23
N,20,deepseek-chat,24
N,20,deepseek-chat,25
N,20,deepseek-chat,26
N,20,deepseek-chat,27
N,20,deepseek-chat,28
N,20,deepseek-chat,29
N,40,deepseek-chat,0
N,40,deepseek-chat,1
N,40,deepseek-chat,2
N,40,deepseek-chat,3
N,40,deepseek-chat,4
N,40,deepseek-chat,5
N,40,deepseek-chat,6
N,40,deepseek-chat,7
N,40,deepseek-chat,8
N,40,deepseek-chat,9
N,40,deepseek-chat,10
N,40,deepseek-chat,11
N,40,deepseek-chat,12
N,40,deepseek-chat,13
N,40,deepseek-chat,14
N,40,deepseek-chat,15
N,40,deepseek-chat,16
N,40,deepseek-chat,17
N,40,deepseek-chat,18
N,40,deepseek-chat,19
N,40,deepseek-chat,20
N,40,deepseek-chat,21
N,40,deepseek-chat,22
N,40,deepseek-chat,23
N,40,deepseek-chat,24
N,40,deepseek-chat,25
N,40,deepseek-chat,26
N,40,deepseek-chat,27
N,40,deepseek-chat,28
N,40,deepseek-chat,29
N,60,deepseek-chat,0
N,60,deepseek-chat,1
N,60,deepseek-chat,2
N,60,deepseek-chat,3
N,60,deepseek-chat,4
N,60,deepseek-chat,5
N,60,deepseek-chat,6
N,60,deepseek-chat,7
N,60,deepseek-chat,8
N,60,deepseek-chat,9
N,60,deepseek-chat,10
N,60,deepseek-chat,11
N,60,deepseek-chat,12
N,60,deepseek-chat,13
N,60,deepseek-chat,14
N,60,deepseek-chat,15
N,60,deepseek-chat,16
N,60,deepseek-chat,17
N,60,deepseek-chat,18
N,60,deepseek-chat,19
N,60,deepseek-chat,20
N,60,deepseek-chat,21
N,60,deepseek-chat,22
N,60,deepseek-chat,23
N,60,deepseek-chat,24
N,60,deepseek-chat,25
N,60,deepseek-chat,26
N,60,deepseek-chat,27
N,60,deepseek-chat,28
N,60,deepseek-chat,29
N,80,deepseek-chat,0
N,80,deepseek-chat,1
N,80,deepseek-chat,2
N,80,deepseek-chat,3
N,80,deepseek-chat,4
N,80,deepseek-chat,5
N,80,deepseek-chat,6
N,80,deepseek-chat,7
N,80,deepseek-chat,8
N,80,deepseek-chat,9
N,80,deepseek-chat,10
N,80,deepseek-chat,11
N,80,deepseek-chat,12
N,80,deepseek-chat,13
N,80,deepseek-chat,14
N,80,deepseek-chat,15
N,80,deepseek-chat,16
N,80,deepseek-chat,17
N,80,deepseek-chat,18
N,80,deepseek-chat,19
N,80,deepseek-chat,20
N,80,deepseek-chat,21
N,80,deepseek-chat,22
N,80,deepseek-chat,23
N,80,deepseek-chat,24
N,80,deepseek-chat,25
N,80,deepseek-chat,26
N,80,deepseek-chat,27
N,80,deepseek-chat,28
N,80,deepseek-chat,29
N,100,deepseek-chat,0
Y,100,deepseek-chat,1
N,100,deepseek-chat,2
N,100,deepseek-chat,3
N,100,deepseek-chat,4
Y,100,deepseek-chat,5
Y,100,deepseek-chat,6
Y,100,deepseek-chat,7
N,100,deepseek-chat,8
N,100,deepseek-chat,9
N,100,deepseek-chat,10
Y,100,deepseek-chat,11
N,100,deepseek-chat,12
Y,100,deepseek-chat,13
N,100,deepseek-chat,14
Y,100,deepseek-chat,15
N,100,deepseek-chat,16
N,100,deepseek-chat,17
N,100,deepseek-chat,18
N,100,deepseek-chat,19
Y,100,deepseek-chat,20
N,100,deepseek-chat,21
N,100,deepseek-chat,22
N,100,deepseek-chat,23
Y,100,deepseek-chat,24
N,100,deepseek-chat,25
Y,100,deepseek-chat,26
Y,100,deepseek-chat,27
N,100,deepseek-chat,28
N,100,deepseek-chat,29
N,120,deepseek-chat,0
N,120,deepseek-chat,1
N,120,deepseek-chat,2
N,120,deepseek-chat,3
Y,120,deepseek-chat,4
Y,120,deepseek-chat,5
N,120,deepseek-chat,6
N,120,deepseek-chat,7
Y,120,deepseek-chat,8
N,120,deepseek-chat,9
N,120,deepseek-chat,10
N,120,deepseek-chat,11
N,120,deepseek-chat,12
N,120,deepseek-chat,13
Y,120,deepseek-chat,14
N,120,deepseek-chat,15
N,120,deepseek-chat,16
Y,120,deepseek-chat,17
N,120,deepseek-chat,18
N,120,deepseek-chat,19
N,120,deepseek-chat,20
