answer,distance,model,run
N,20,gpt-5.1,0
N,20,gpt-5.1,1
N,20,gpt-5.1,2
N,20,gpt-5.1,3
N,20,gpt-5.1,4
N,20,gpt-5.1,5
N,20,gpt-5.1,6
N,20,gpt-5.1,7
N,20,gpt-5.1,8
N,20,gpt-5.1,9
N,20,gpt-5.1,10
N,20,gpt-5.1,11
N,20,gpt-5.1,12
N,20,gpt-5.1,13
N,20,gpt-5.1,14
N,20,gpt-5.1,15
N,20,gpt-5.1,16
N,20,gpt-5.1,17
N,20,gpt-5.1,18
N,20,gpt-5.1,19
N,20,gpt-5.1,20
N,20,gpt-5.1,21
N,20,gpt-5.1,22
N,20,gpt-5.1,23
N,20,gpt-5.1,24
N,20,gpt-5.1,25
N,20,gpt-5.1,26
N,20,gpt-5.1,27
N,20,gpt-5.1,28
N,20,gpt-5.1,29
N,40,gpt-5.1,0
N,40,gpt-5.1,1
N,40,gpt-5.1,2
N,40,gpt-5.1,3
N,40,gpt-5.1,4
N,40,gpt-5.1,5
N,40,gpt-5.1,6
N,40,gpt-5.1,7
N,40,gpt-5.1,8
N,40,gpt-5.1,9
N,40,gpt-5.1,10
N,40,gpt-5.1,11
N,40,gpt-5.1,12
N,40,gpt-5.1,13
N,40,gpt-5.1,14
N,40,gpt-5.1,15
N,40,gpt-5.1,16
N,40,gpt-5.1,17
N,40,gpt-5.1,18
N,40,gpt-5.1,19
N,40,gpt-5.1,20
N,40,gpt-5.1,21
N,40,gpt-5.1,22
N,40,gpt-5.1,23
N,40,gpt-5.1,24
N,40,gpt-5.1,25
N,40,gpt-5.1,26
N,40,gpt-5.1,27
N,40,gpt-5.1,28
N,40,gpt-5.1,29
N,60,gpt-5.1,0
N,60,gpt-5.1,1
N,60,gpt-5.1,2
N,60,gpt-5.1,3
N,60,gpt-5.1,4
N,60,gpt-5.1,5
N,60,gpt-5.1,6
N,60,gpt-5.1,7
N,60,gpt-5.1,8
N,60,gpt-5.1,9
N,60,gpt-5.1,10
N,60,gpt-5.1,11
N,60,gpt-5.1,12
N,60,gpt-5.1,13
N,60,gpt-5.1,14
N,60,gpt-5.1,15
N,60,gpt-5.1,16
N,60,gpt-5.1,17
N,60,gpt-5.1,18
N,60,gpt-5.1,19
N,60,gpt-5.1,20
N,60,gpt-5.1,21
N,60,gpt-5.1,22
N,60,gpt-5.1,23
N,60,gpt-5.1,24
N,60,gpt-5.1,25
N,60,gpt-5.1,26
N,60,gpt-5.1,27
N,60,gpt-5.1,28
N,60,gpt-5.1,29
N,80,gpt-5.1,0
N,80,gpt-5.1,1
N,80,gpt-5.1,2
N,80,gpt-5.1,3
N,80,gpt-5.1,4
N,80,gpt-5.1,5
N,80,gpt-5.1,6
N,80,gpt-5.1,7
N,80,gpt-5.1,8
N,80,gpt-5.1,9
N,80,gpt-5.1,10
N,80,gpt-5.1,11
N,80,gpt-5.1,12
N,80,gpt-5.1,13
N,80,gpt-5.1,14
N,80,gpt-5.1,15
N,80,gpt-5.1,16
N,80,gpt-5.1,17
N,80,gpt-5.1,18
N,80,gpt-5.1,19
N,80,gpt-5.1,20
N,80,gpt-5.1,21
N,80,gpt-5.1,22
N,80,gpt-5.1,23
N,80,gpt-5.1,24
N,80,gpt-5.1,25
N,80,gpt-5.1,26
N,80,gpt-5.1,27
N,80,gpt-5.1,28
N,80,gpt-5.1,29
N,100,gpt-5.1,0
N,100,gpt-5.1,1
N,100,gpt-5.1,2
N,100,gpt-5.1,3
N,100,gpt-5.1,4
N,100,gpt-5.1,5
N,100,gpt-5.1,6
N,100,gpt-5.1,7
N,100,gpt-5.1,8
N,100,gpt-5.1,9
N,100,gpt-5.1,10
N,100,gpt-5.1,11
N,100,gpt-5.1,12
N,100,gpt-5.1,13
N,100,gpt-5.1,14
N,100,gpt-5.1,15
N,100,gpt-5.1,16
N,100,gpt-5.1,17
N,100,gpt-5.1,18
N,100,gpt-5.1,19
N,100,gpt-5.1,20
N,100,gpt-5.1,21
N,100,gpt-5.1,22
N,100,gpt-5.1,23
N,100,gpt-5.1,24
N,100,gpt-5.1,25
N,100,gpt-5.1,26
N,100,gpt-5.1,27
N,100,gpt-5.1,28
N,100,gpt-5.1,29
N,120,gpt-5.1,0
N,120,gpt-5.1,1
N,120,gpt-5.1,2
N,120,gpt-5.1,3
Y,120,gpt-5.1,4
N,120,gpt-5.1,5
N,120,gpt-5.1,6
N,120,gpt-5.1,7
N,120,gpt-5.1,8
N,120,gpt-5.1,9
N,120,gpt-5.1,10
N,120,gpt-5.1,11
N,120,gpt-5.1,12
N,120,gpt-5.1,13
N,120,gpt-5.1,14
N,120,gpt-5.1,15
N,120,gpt-5.1,16
N,120,gpt-5.1,17
N,120,gpt-5.1,18
N,120,gpt-5.1,19
N,120,gpt-5.1,20
N,120,gpt-5.1,21
N,120,gpt-5.1,22
N,120,gpt-5.1,23
N,120,gpt-5.1,24
N,120,gpt-5.1,25
N,120,gpt-5.1,26
N,120,gpt-5.1,27
N,120,gpt-5.1,28
N,120,gpt-5.1,29
N,140,gpt-5.1,0
N,140,gpt-5.1,1
N,140,gpt-5.1,2
N,140,gpt-5.1,3
N,140,gpt-5.1,4
N,140,gpt-5.1,5
N,140,gpt-5.1,6
N,140,gpt-5.1,7
N,140,gpt-5.1,8
N,140,gpt-5.1,9
N,140,gpt-5.1,10
N,140,gpt-5.1,11
N,140,gpt-5.1,12
N,140,gpt-5.1,13
N,140,gpt-5.1,14
N,140,gpt-5.1,15
N,140,gpt-5.1,16
N,140,gpt-5.1,17
N,140,gpt-5.1,18
N,140,gpt-5.1,19
N,140,gpt-5.1,20
N,140,gpt-5.1,21
N,140,gpt-5.1,22
Y,140,gpt-5.1,23
N,140,gpt-5.1,24
N,140,gpt-5.1,25
N,140,gpt-5.1,26
N,140,gpt-5.1,27
N,140,gpt-5.1,28
N,140,gpt-5.1,29
Y,160,gpt-5.1,0
N,160,gpt-5.1,1
Y,160,gpt-5.1,2
Y,160,gpt-5.1,3
Y,160,gpt-5.1,4
Y,160,gpt-5.1,5
Y,160,gpt-5.1,6
Y,160,gpt-5.1,7
