answer,distance,model,run
N,2,deepseek-chat,0
N,2,deepseek-chat,1
N,2,deepseek-chat,2
N,2,deepseek-chat,3
N,2,deepseek-chat,4
N,2,deepseek-chat,5
N,2,deepseek-chat,6
N,2,deepseek-chat,7
N,2,deepseek-chat,8
N,2,deepseek-chat,9
N,2,deepseek-chat,10
N,2,deepseek-chat,11
N,2,deepseek-chat,12
N,2,deepseek-chat,13
N,2,deepseek-chat,14
N,2,deepseek-chat,15
N,2,deepseek-chat,16
N,2,deepseek-chat,17
N,2,deepseek-chat,18
N,2,deepseek-chat,19
N,2,deepseek-chat,20
N,2,deepseek-chat,21
N,2,deepseek-chat,22
N,2,deepseek-chat,23
N,2,deepseek-chat,24
N,2,deepseek-chat,25
N,2,deepseek-chat,26
N,2,deepseek-chat,27
N,2,deepseek-chat,28
N,2,deepseek-chat,29
N,4,deepseek-chat,0
N,4,deepseek-chat,1
N,4,deepseek-chat,2
N,4,deepseek-chat,3
N,4,deepseek-chat,4
N,4,deepseek-chat,5
N,4,deepseek-chat,6
N,4,deepseek-chat,7
N,4,deepseek-chat,8
N,4,deepseek-chat,9
N,4,deepseek-chat,10
N,4,deepseek-chat,11
N,4,deepseek-chat,12
N,4,deepseek-chat,13
N,4,deepseek-chat,14
N,4,deepseek-chat,15
N,4,deepseek-chat,16
N,4,deepseek-chat,17
N,4,deepseek-chat,18
N,4,deepseek-chat,19
N,4,deepseek-chat,20
N,4,deepseek-chat,21
N,4,deepseek-chat,22
N,4,deepseek-chat,23
N,4,deepseek-chat,24
N,4,deepseek-chat,25
N,4,deepseek-chat,26
N,4,deepseek-chat,27
N,4,deepseek-chat,28
N,4,deepseek-chat,29
N,6,deepseek-chat,0
N,6,deepseek-chat,1
N,6,deepseek-chat,2
N,6,deepseek-chat,3
N,6,deepseek-chat,4
N,6,deepseek-chat,5
N,6,deepseek-chat,6
N,6,deepseek-chat,7
N,6,deepseek-chat,8
N,6,deepseek-chat,9
N,6,deepseek-chat,10
N,6,deepseek-chat,11
N,6,deepseek-chat,12
N,6,deepseek-chat,13
N,6,deepseek-chat,14
N,6,deepseek-chat,15
N,6,deepseek-chat,16
N,6,deepseek-chat,17
N,6,deepseek-chat,18
N,6,deepseek-chat,19
N,6,deepseek-chat,20
N,6,deepseek-chat,21
N,6,deepseek-chat,22
N,6,deepseek-chat,23
N,6,deepseek-chat,24
N,6,deepseek-chat,25
N,6,deepseek-chat,26
N,6,deepseek-chat,27
N,6,deepseek-chat,28
N,6,deepseek-chat,29
N,8,deepseek-chat,0
N,8,deepseek-chat,1
N,8,deepseek-chat,2
N,8,deepseek-chat,3
N,8,deepseek-chat,4
N,8,deepseek-chat,5
N,8,deepseek-chat,6
N,8,deepseek-chat,7
N,8,deepseek-chat,8
N,8,deepseek-chat,9
N,8,deepseek-chat,10
N,8,deepseek-chat,11
N,8,deepseek-chat,12
N,8,deepseek-chat,13
N,8,deepseek-chat,14
N,8,deepseek-chat,15
N,8,deepseek-chat,16
N,8,deepseek-chat,17
N,8,deepseek-chat,18
N,8,deepseek-chat,19
N,8,deepseek-chat,20
N,8,deepseek-chat,21
N,8,deepseek-chat,22
N,8,deepseek-chat,23
N,8,deepseek-chat,24
N,8,deepseek-chat,25
N,8,deepseek-chat,26
N,8,deepseek-chat,27
N,8,deepseek-chat,28
N,8,deepseek-chat,29
N,10,deepseek-chat,0
N,10,deepseek-chat,1
N,10,deepseek-chat,2
N,10,deepseek-chat,3
N,10,deepseek-chat,4
N,10,deepseek-chat,5
N,10,deepseek-chat,6
Y,10,deepseek-chat,7
Y,10,deepseek-chat,8
N,10,deepseek-chat,9
N,10,deepseek-chat,10
N,10,deepseek-chat,11
N,10,deepseek-chat,12
N,10,deepseek-chat,13
N,10,deepseek-chat,14
N,10,deepseek-chat,15
N,10,deepseek-chat,16
N,10,deepseek-chat,17
Y,10,deepseek-chat,18
N,10,deepseek-chat,19
N,10,deepseek-chat,20
N,10,deepseek-chat,21
Y,10,deepseek-chat,22
Y,10,deepseek-chat,23
N,10,deepseek-chat,24
N,10,deepseek-chat,25
N,10,deepseek-chat,26
Y,10,deepseek-chat,27
N,10,deepseek-chat,28
N,10,deepseek-chat,29
Y,12,deepseek-chat,0
Y,12,deepseek-chat,1
N,12,deepseek-chat,2
N,12,deepseek-chat,3
N,12,deepseek-chat,4
Y,12,deepseek-chat,5
N,12,deepseek-chat,6
N,12,deepseek-chat,7
N,12,deepseek-chat,8
N,12,deepseek-chat,9
N,12,deepseek-chat,10
N,12,deepseek-chat,11
Y,12,deepseek-chat,12
N,12,deepseek-chat,13
Y,12,deepseek-chat,14
N,12,deepseek-chat,15
Y,12,deepseek-chat,16
N,12,deepseek-chat,17
Y,12,deepseek-chat,18
N,12,deepseek-chat,19
N,12,deepseek-chat,20
Y,12,deepseek-chat,21
N,12,deepseek-chat,22
Y,12,deepseek-chat,23
N,12,deepseek-chat,24
N,12,deepseek-chat,25
N,12,deepseek-chat,26
N,12,deepseek-chat,27
Y,12,deepseek-chat,28
N,12,deepseek-chat,29
N,14,deepseek-chat,0
Y,14,deepseek-chat,1
N,14,deepseek-chat,2
N,14,deepseek-chat,3
N,14,deepseek-chat,4
N,14,deepseek-chat,5
N,14,deepseek-chat,6
N,14,deepseek-chat,7
N,14,deepseek-chat,8
N,14,deepseek-chat,9
N,14,deepseek-chat,10
N,14,deepseek-chat,11
Y,14,deepseek-chat,12
Y,14,deepseek-chat,13
N,14,deepseek-chat,14
N,14,deepseek-chat,15
Y,14,deepseek-chat,16
N,14,deepseek-chat,17
N,14,deepseek-chat,18
N,14,deepseek-chat,19
Y,14,deepseek-chat,20
N,14,deepseek-chat,21
N,14,deepseek-chat,22
N,14,deepseek-chat,23
N,14,deepseek-chat,24
N,14,deepseek-chat,25
N,14,deepseek-chat,26
Y,14,deepseek-chat,27
Y,14,deepseek-chat,28
N,14,deepseek-chat,29
Y,16,deepseek-chat,0
N,16,deepseek-chat,1
Y,16,deepseek-chat,2
Y,16,deepseek-chat,3
N,16,deepseek-chat,4
Y,16,deepseek-chat,5
Y,16,deepseek-chat,6
Y,16,deepseek-chat,7
Y,16,deepseek-chat,8
Y,16,deepseek-chat,9
Y,16,deepseek-chat,10
Y,16,deepseek-chat,11
Y,16,deepseek-chat,12
Y,16,deepseek-chat,13
Y,16,deepseek-chat,14
Y,16,deepseek-chat,15
Y,16,deepseek-chat,16
N,16,deepseek-chat,17
Y,16,deepseek-chat,18
Y,16,deepseek-chat,19
Y,16,deepseek-chat,20
N,16,deepseek-chat,21
Y,16,deepseek-chat,22
Y,16,deepseek-chat,23
Y,16,deepseek-chat,24
Y,16,deepseek-chat,25
Y,16,deepseek-chat,26
Y,16,deepseek-chat,27
Y,16,deepseek-chat,28
Y,16,deepseek-chat,29
Y,18,deepseek-chat,0
Y,18,deepseek-chat,1
Y,18,deepseek-chat,2
Y,18,deepseek-chat,3
Y,18,deepseek-chat,4
Y,18,deepseek-chat,5
Y,18,deepseek-chat,6
Y,18,deepseek-chat,7
N,18,deepseek-chat,8
Y,18,deepseek-chat,9
Y,18,deepseek-chat,10
N,18,deepseek-chat,11
Y,18,deepseek-chat,12
Y,18,deepseek-chat,13
Y,18,deepseek-chat,14
N,18,deepseek-chat,15
Y,18,deepseek-chat,16
Y,18,deepseek-chat,17
N,18,deepseek-chat,18
Y,18,deepseek-chat,19
Y,18,deepseek-chat,20
Y,18,deepseek-chat,21
N,18,deepseek-chat,22
Y,18,deepseek-chat,23
N,18,deepseek-chat,24
Y,18,deepseek-chat,25
Y,18,deepseek-chat,26
Y,18,deepseek-chat,27
N,18,deepseek-chat,28
N,18,deepseek-chat,29
Y,20,deepseek-chat,0
Y,20,deepseek-chat,1
Y,20,deepseek-chat,2
Y,20,deepseek-chat,3
Y,20,deepseek-chat,4
Y,20,deepseek-chat,5
Y,20,deepseek-chat,6
Y,20,deepseek-chat,7
Y,20,deepseek-chat,8
Y,20,deepseek-chat,9
Y,20,deepseek-chat,10
Y,20,deepseek-chat,11
Y,20,deepseek-chat,12
Y,20,deepseek-chat,13
