answer,distance,model,run
N,20,gemini-2.5-flash,0
N,20,gemini-2.5-flash,1
N,20,gemini-2.5-flash,2
N,20,gemini-2.5-flash,3
N,20,gemini-2.5-flash,4
N,20,gemini-2.5-flash,5
N,20,gemini-2.5-flash,6
N,20,gemini-2.5-flash,7
N,20,gemini-2.5-flash,8
N,20,gemini-2.5-flash,9
N,20,gemini-2.5-flash,10
N,20,gemini-2.5-flash,11
N,20,gemini-2.5-flash,12
N,20,gemini-2.5-flash,13
N,20,gemini-2.5-flash,14
N,20,gemini-2.5-flash,15
N,20,gemini-2.5-flash,16
N,20,gemini-2.5-flash,17
N,20,gemini-2.5-flash,18
N,20,gemini-2.5-flash,19
N,20,gemini-2.5-flash,20
N,20,gemini-2.5-flash,21
N,20,gemini-2.5-flash,22
N,20,gemini-2.5-flash,23
N,20,gemini-2.5-flash,24
N,20,gemini-2.5-flash,25
N,20,gemini-2.5-flash,26
N,20,gemini-2.5-flash,27
N,20,gemini-2.5-flash,28
N,20,gemini-2.5-flash,29
N,40,gemini-2.5-flash,0
N,40,gemini-2.5-flash,1
N,40,gemini-2.5-flash,2
N,40,gemini-2.5-flash,3
N,40,gemini-2.5-flash,4
N,40,gemini-2.5-flash,5
N,40,gemini-2.5-flash,6
N,40,gemini-2.5-flash,7
N,40,gemini-2.5-flash,8
N,40,gemini-2.5-flash,9
N,40,gemini-2.5-flash,10
N,40,gemini-2.5-flash,11
N,40,gemini-2.5-flash,12
N,40,gemini-2.5-flash,13
N,40,gemini-2.5-flash,14
N,40,gemini-2.5-flash,15
N,40,gemini-2.5-flash,16
N,40,gemini-2.5-flash,17
N,40,gemini-2.5-flash,18
N,40,gemini-2.5-flash,19
N,40,gemini-2.5-flash,20
N,40,gemini-2.5-flash,21
N,40,gemini-2.5-flash,22
N,40,gemini-2.5-flash,23
N,40,gemini-2.5-flash,24
N,40,gemini-2.5-flash,25
N,40,gemini-2.5-flash,26
N,40,gemini-2.5-flash,27
N,40,gemini-2.5-flash,28
N,40,gemini-2.5-flash,29
N,60,gemini-2.5-flash,0
N,60,gemini-2.5-flash,1
N,60,gemini-2.5-flash,2
N,60,gemini-2.5-flash,3
N,60,gemini-2.5-flash,4
N,60,gemini-2.5-flash,5
N,60,gemini-2.5-flash,6
N,60,gemini-2.5-flash,7
N,60,gemini-2.5-flash,8
N,60,gemini-2.5-flash,9
N,60,gemini-2.5-flash,10
N,60,gemini-2.5-flash,11
N,60,gemini-2.5-flash,12
N,60,gemini-2.5-flash,13
N,60,gemini-2.5-flash,14
N,60,gemini-2.5-flash,15
N,60,gemini-2.5-flash,16
N,60,gemini-2.5-flash,17
N,60,gemini-2.5-flash,18
N,60,gemini-2.5-flash,19
N,60,gemini-2.5-flash,20
N,60,gemini-2.5-flash,21
N,60,gemini-2.5-flash,22
N,60,gemini-2.5-flash,23
N,60,gemini-2.5-flash,24
N,60,gemini-2.5-flash,25
N,60,gemini-2.5-flash,26
N,60,gemini-2.5-flash,27
N,60,gemini-2.5-flash,28
N,60,gemini-2.5-flash,29
N,80,gemini-2.5-flash,0
N,80,gemini-2.5-flash,1
N,80,gemini-2.5-flash,2
N,80,gemini-2.5-flash,3
N,80,gemini-2.5-flash,4
N,80,gemini-2.5-flash,5
N,80,gemini-2.5-flash,6
N,80,gemini-2.5-flash,7
N,80,gemini-2.5-flash,8
N,80,gemini-2.5-flash,9
N,80,gemini-2.5-flash,10
N,80,gemini-2.5-flash,11
N,80,gemini-2.5-flash,12
N,80,gemini-2.5-flash,13
N,80,gemini-2.5-flash,14
N,80,gemini-2.5-flash,15
N,80,gemini-2.5-flash,16
N,80,gemini-2.5-flash,17
N,80,gemini-2.5-flash,18
N,80,gemini-2.5-flash,19
N,80,gemini-2.5-flash,20
N,80,gemini-2.5-flash,21
N,80,gemini-2.5-flash,22
N,80,gemini-2.5-flash,23
N,80,gemini-2.5-flash,24
N,80,gemini-2.5-flash,25
N,80,gemini-2.5-flash,26
N,80,gemini-2.5-flash,27
N,80,gemini-2.5-flash,28
N,80,gemini-2.5-flash,29
N,100,gemini-2.5-flash,0
N,100,gemini-2.5-flash,1
N,100,gemini-2.5-flash,2
N,100,gemini-2.5-flash,3
N,100,gemini-2.5-flash,4
N,100,gemini-2.5-flash,5
N,100,gemini-2.5-flash,6
N,100,gemini-2.5-flash,7
N,100,gemini-2.5-flash,8
N,100,gemini-2.5-flash,9
N,100,gemini-2.5-flash,10
N,100,gemini-2.5-flash,11
N,100,gemini-2.5-flash,12
N,100,gemini-2.5-flash,13
N,100,gemini-2.5-flash,14
N,100,gemini-2.5-flash,15
N,100,gemini-2.5-flash,16
N,100,gemini-2.5-flash,17
N,100,gemini-2.5-flash,18
N,100,gemini-2.5-flash,19
N,100,gemini-2.5-flash,20
N,100,gemini-2.5-flash,21
N,100,gemini-2.5-flash,22
N,100,gemini-2.5-flash,23
N,100,gemini-2.5-flash,24
N,100,gemini-2.5-flash,25
N,100,gemini-2.5-flash,26
N,100,gemini-2.5-flash,27
Y,100,gemini-2.5-flash,28
N,100,gemini-2.5-flash,29
N,120,gemini-2.5-flash,0
N,120,gemini-2.5-flash,1
N,120,gemini-2.5-flash,2
N,120,gemini-2.5-flash,3
N,120,gemini-2.5-flash,4
N,120,gemini-2.5-flash,5
N,120,gemini-2.5-flash,6
Y,120,gemini-2.5-flash,7
N,120,gemini-2.5-flash,8
N,120,gemini-2.5-flash,9
N,120,gemini-2.5-flash,10
Y,120,gemini-2.5-flash,11
N,120,gemini-2.5-flash,12
N,120,gemini-2.5-flash,13
N,120,gemini-2.5-flash,14
N,120,gemini-2.5-flash,15
Y,120,gemini-2.5-flash,16
Y,120,gemini-2.5-flash,17
N,120,gemini-2.5-flash,18
N,120,gemini-2.5-flash,19
N,120,gemini-2.5-flash,20
Y,120,gemini-2.5-flash,21
N,120,gemini-2.5-flash,22
N,120,gemini-2.5-flash,23
N,120,gemini-2.5-flash,24
Y,120,gemini-2.5-flash,25
Y,120,gemini-2.5-flash,26
N,120,gemini-2.5-flash,27
N,120,gemini-2.5-flash,28
N,120,gemini-2.5-flash,29
N,140,gemini-2.5-flash,0
N,140,gemini-2.5-flash,1
N,140,gemini-2.5-flash,2
N,140,gemini-2.5-flash,3
N,140,gemini-2.5-flash,4
N,140,gemini-2.5-flash,5
N,140,gemini-2.5-flash,6
N,140,gemini-2.5-flash,7
N,140,gemini-2.5-flash,8
N,140,gemini-2.5-flash,9
N,140,gemini-2.5-flash,10
N,140,gemini-2.5-flash,11
N,140,gemini-2.5-flash,12
N,140,gemini-2.5-flash,13
N,140,gemini-2.5-flash,14
N,140,gemini-2.5-flash,15
N,140,gemini-2.5-flash,16
N,140,gemini-2.5-flash,17
N,140,gemini-2.5-flash,18
N,140,gemini-2.5-flash,19
N,140,gemini-2.5-flash,20
Y,140,gemini-2.5-flash,21
N,140,gemini-2.5-flash,22
N,140,gemini-2.5-flash,23
N,140,gemini-2.5-flash,24
N,140,gemini-2.5-flash,25
N,140,gemini-2.5-flash,26
N,140,gemini-2.5-flash,27
N,140,gemini-2.5-flash,28
N,140,gemini-2.5-flash,29
Y,160,gemini-2.5-flash,0
N,160,gemini-2.5-flash,1
N,160,gemini-2.5-flash,2
N,160,gemini-2.5-flash,3
N,160,gemini-2.5-flash,4
N,160,gemini-2.5-flash,5
N,160,gemini-2.5-flash,6
N,160,gemini-2.5-flash,7
N,160,gemini-2.5-flash,8
Y,160,gemini-2.5-flash,9
Y,160,gemini-2.5-flash,10
N,160,gemini-2.5-flash,11
N,160,gemini-2.5-flash,12
N,160,gemini-2.5-flash,13
N,160,gemini-2.5-flash,14
N,160,gemini-2.5-flash,15
N,160,gemini-2.5-flash,16
N,160,gemini-2.5-flash,17
N,160,gemini-2.5-flash,18
N,160,gemini-2.5-flash,19
N,160,gemini-2.5-flash,20
Y,160,gemini-2.5-flash,21
N,160,gemini-2.5-flash,22
N,160,gemini-2.5-flash,23
Y,160,gemini-2.5-flash,24
N,160,gemini-2.5-flash,25
Y,160,gemini-2.5-flash,26
N,160,gemini-2.5-flash,27
